"lon","lat","layer","bioregion"
-5.1,35.6,"bathypelagic",NA
-5.1,35.8,"bathypelagic",NA
-5.1,36,"bathypelagic",NA
-5.1,36.2,"bathypelagic",NA
-4.9,35.6,"bathypelagic",NA
-4.9,35.8,"bathypelagic",NA
-4.9,36,"bathypelagic",1
-4.9,36.2,"bathypelagic",1
-4.9,36.4,"bathypelagic",NA
-4.7,35.4,"bathypelagic",NA
-4.7,35.6,"bathypelagic",1
-4.7,35.8,"bathypelagic",1
-4.7,36,"bathypelagic",1
-4.7,36.2,"bathypelagic",1
-4.5,35.4,"bathypelagic",NA
-4.5,35.6,"bathypelagic",1
-4.5,35.8,"bathypelagic",1
-4.5,36,"bathypelagic",1
-4.5,36.2,"bathypelagic",1
-4.5,36.4,"bathypelagic",1
-4.3,35.4,"bathypelagic",NA
-4.3,35.6,"bathypelagic",1
-4.3,35.8,"bathypelagic",1
-4.3,36,"bathypelagic",1
-4.3,36.2,"bathypelagic",1
-4.3,36.4,"bathypelagic",1
-4.3,36.6,"bathypelagic",NA
-4.1,35.4,"bathypelagic",NA
-4.1,35.6,"bathypelagic",1
-4.1,35.8,"bathypelagic",1
-4.1,36,"bathypelagic",1
-4.1,36.2,"bathypelagic",1
-4.1,36.4,"bathypelagic",1
-4.1,36.6,"bathypelagic",NA
-3.9,35.4,"bathypelagic",NA
-3.9,35.6,"bathypelagic",1
-3.9,35.8,"bathypelagic",1
-3.9,36,"bathypelagic",1
-3.9,36.2,"bathypelagic",1
-3.9,36.4,"bathypelagic",1
-3.9,36.6,"bathypelagic",NA
-3.7,35.4,"bathypelagic",NA
-3.7,35.6,"bathypelagic",1
-3.7,35.8,"bathypelagic",1
-3.7,36,"bathypelagic",1
-3.7,36.2,"bathypelagic",NA
-3.7,36.4,"bathypelagic",1
-3.7,36.6,"bathypelagic",NA
-3.5,35.4,"bathypelagic",NA
-3.5,35.6,"bathypelagic",1
-3.5,35.8,"bathypelagic",1
-3.5,36,"bathypelagic",1
-3.5,36.2,"bathypelagic",1
-3.5,36.4,"bathypelagic",1
-3.3,35.4,"bathypelagic",NA
-3.3,35.6,"bathypelagic",1
-3.3,35.8,"bathypelagic",NA
-3.3,36,"bathypelagic",1
-3.3,36.2,"bathypelagic",1
-3.3,36.4,"bathypelagic",1
-3.3,36.6,"bathypelagic",1
-3.1,35.6,"bathypelagic",1
-3.1,35.8,"bathypelagic",1
-3.1,36,"bathypelagic",1
-3.1,36.2,"bathypelagic",1
-3.1,36.4,"bathypelagic",1
-3.1,36.6,"bathypelagic",NA
-2.9,35.6,"bathypelagic",NA
-2.9,35.8,"bathypelagic",1
-2.9,36,"bathypelagic",NA
-2.9,36.2,"bathypelagic",1
-2.9,36.4,"bathypelagic",1
-2.9,36.6,"bathypelagic",NA
-2.7,35.4,"bathypelagic",NA
-2.7,35.6,"bathypelagic",NA
-2.7,35.8,"bathypelagic",1
-2.7,36,"bathypelagic",1
-2.7,36.2,"bathypelagic",1
-2.7,36.4,"bathypelagic",1
-2.5,35.4,"bathypelagic",NA
-2.5,35.6,"bathypelagic",NA
-2.5,35.8,"bathypelagic",1
-2.5,36,"bathypelagic",1
-2.5,36.2,"bathypelagic",1
-2.5,36.4,"bathypelagic",1
-2.5,36.6,"bathypelagic",NA
-2.3,35.4,"bathypelagic",NA
-2.3,35.6,"bathypelagic",NA
-2.3,35.8,"bathypelagic",NA
-2.3,36,"bathypelagic",1
-2.3,36.2,"bathypelagic",1
-2.3,36.4,"bathypelagic",1
-2.3,36.6,"bathypelagic",NA
-2.1,35.2,"bathypelagic",NA
-2.1,35.4,"bathypelagic",NA
-2.1,35.6,"bathypelagic",1
-2.1,35.8,"bathypelagic",1
-2.1,36,"bathypelagic",1
-2.1,36.2,"bathypelagic",1
-2.1,36.4,"bathypelagic",1
-2.1,36.6,"bathypelagic",NA
-1.9,35.2,"bathypelagic",NA
-1.9,35.4,"bathypelagic",NA
-1.9,35.6,"bathypelagic",1
-1.9,35.8,"bathypelagic",1
-1.9,36,"bathypelagic",1
-1.9,36.2,"bathypelagic",1
-1.9,36.4,"bathypelagic",1
-1.9,36.6,"bathypelagic",1
-1.9,36.8,"bathypelagic",NA
-1.7,35.4,"bathypelagic",NA
-1.7,35.6,"bathypelagic",NA
