"lon","lat","layer","trophic","ecoregion"
-5.1,35.6,"pelagic","primary producers",3
-5.1,35.8,"pelagic","primary producers",3
-5.1,36,"pelagic","primary producers",1
-5.1,36.2,"pelagic","primary producers",1
-4.9,35.6,"pelagic","primary producers",3
-4.9,35.8,"pelagic","primary producers",5
-4.9,36,"pelagic","primary producers",1
-4.9,36.2,"pelagic","primary producers",1
-4.9,36.4,"pelagic","primary producers",1
-4.7,35.4,"pelagic","primary producers",5
-4.7,35.6,"pelagic","primary producers",5
-4.7,35.8,"pelagic","primary producers",5
-4.7,36,"pelagic","primary producers",1
-4.7,36.2,"pelagic","primary producers",1
-4.5,35.4,"pelagic","primary producers",5
-4.5,35.6,"pelagic","primary producers",3
-4.5,35.8,"pelagic","primary producers",5
-4.5,36,"pelagic","primary producers",5
-4.5,36.2,"pelagic","primary producers",2
-4.5,36.4,"pelagic","primary producers",2
-4.3,35.4,"pelagic","primary producers",5
-4.3,35.6,"pelagic","primary producers",3
-4.3,35.8,"pelagic","primary producers",3
-4.3,36,"pelagic","primary producers",2
-4.3,36.2,"pelagic","primary producers",2
-4.3,36.4,"pelagic","primary producers",2
-4.3,36.6,"pelagic","primary producers",1
-4.1,35.4,"pelagic","primary producers",5
-4.1,35.6,"pelagic","primary producers",3
-4.1,35.8,"pelagic","primary producers",3
-4.1,36,"pelagic","primary producers",1
-4.1,36.2,"pelagic","primary producers",2
-4.1,36.4,"pelagic","primary producers",2
-4.1,36.6,"pelagic","primary producers",1
-3.9,35.4,"pelagic","primary producers",1
-3.9,35.6,"pelagic","primary producers",3
-3.9,35.8,"pelagic","primary producers",3
-3.9,36,"pelagic","primary producers",1
-3.9,36.2,"pelagic","primary producers",2
-3.9,36.4,"pelagic","primary producers",2
-3.9,36.6,"pelagic","primary producers",1
-3.7,35.4,"pelagic","primary producers",1
-3.7,35.6,"pelagic","primary producers",5
-3.7,35.8,"pelagic","primary producers",5
-3.7,36,"pelagic","primary producers",1
-3.7,36.2,"pelagic","primary producers",2
-3.7,36.4,"pelagic","primary producers",2
-3.7,36.6,"pelagic","primary producers",1
-3.5,35.4,"pelagic","primary producers",1
-3.5,35.6,"pelagic","primary producers",1
-3.5,35.8,"pelagic","primary producers",1
-3.5,36,"pelagic","primary producers",2
-3.5,36.2,"pelagic","primary producers",2
-3.5,36.4,"pelagic","primary producers",1
-3.3,35.4,"pelagic","primary producers",1
-3.3,35.6,"pelagic","primary producers",1
-3.3,35.8,"pelagic","primary producers",1
-3.3,36,"pelagic","primary producers",1
-3.3,36.2,"pelagic","primary producers",1
-3.3,36.4,"pelagic","primary producers",1
-3.3,36.6,"pelagic","primary producers",3
-3.1,35.6,"pelagic","primary producers",1
